concept_id,concept_name,cluster
43020442,Adult victim of emotional abuse,Emotional Abuse
43021802,Child victim of psychological or emotional abuse,Emotional Abuse
4161447,Emotional abuse,Emotional Abuse
436001,Emotional abuse of adult,Emotional Abuse
439395,Emotional abuse of child,Emotional Abuse
4072656,Emotional abuse of disabled person,Emotional Abuse
4149657,Emotional deprivation of child,Emotional Abuse
4192665,Emotional deprivation syndrome,Emotional Abuse
4193573,History of emotional abuse,Emotional Abuse
45757170,Psychological abuse complicating childbirth,Emotional Abuse
45757171,Psychological abuse complicating pregnancy,Emotional Abuse
4319168,Psychologically abused woman,Emotional Abuse
37108776,Suspected victim of child emotional abuse,Emotional Abuse
44783767,Suspected victim of emotional abuse,Emotional Abuse
4310558,Victim of consistent negative messages,Emotional Abuse
443549,Victim of emotional abuse,Emotional Abuse
4026164,Victim of verbal abuse,Emotional Abuse
4053413,Abandonment of infant,Neglect
764157,Adult victim of neglect,Neglect
43020448,Adult victim of nutritional neglect,Neglect
4053713,Child abandonment,Neglect
4262163,Child deprivation syndrome,Neglect
4302805,Child neglect,Neglect
43020447,Child victim of nutritional neglect,Neglect
4310433,Delayed healthcare provision resulting in neglect,Neglect
765389,History of childhood neglect,Neglect
4306507,Inappropriately left alone,Neglect
4308303,Lacks emotional nurturance,Neglect
4313741,Lacks necessary supervision,Neglect
4020157,Multiple deprivation of child,Neglect
37108754,Neglect of adult,Neglect
4053717,Neglect of disabled person,Neglect
4160623,Neglect or abandonment,Neglect
4020594,Nutritional maltreatment of child,Neglect
4333752,Nutritional neglect of adult,Neglect
45765898,Suspected victim of child neglect,Neglect
36715279,Victim of child neglect,Neglect
36715278,Victim of infant neglect,Neglect
435131,Victim of neglect,Neglect
762124,Adult victim of non-domestic physical abuse,Physical Abuse
43020449,Adult victim of physical abuse,Physical Abuse
43020482,Adult victim of physical abuse by female partner,Physical Abuse
43021866,Adult victim of physical abuse by male partner,Physical Abuse
4265722,Battered baby,Physical Abuse
4009867,Battered baby AND/OR child syndrome,Physical Abuse
4300517,Battered spouse syndrome,Physical Abuse
4052604,Battered wife - history,Physical Abuse
4252909,Battered woman syndrome,Physical Abuse
4169278,Child abuse,Physical Abuse
4059773,Child abuse in family,Physical Abuse
4293872,Child affected by Munchausen's by proxy,Physical Abuse
43020501,Child victim of maltreatment,Physical Abuse
43020450,Child victim of physical abuse,Physical Abuse
4301156,Cutaneous Munchausen syndrome by proxy,Physical Abuse
36715173,Domestic physical abuse,Physical Abuse
37204043,Domestic physical abuse of adult,Physical Abuse
764560,Family history of victim of physical abuse,Physical Abuse
762057,History of adulthood of physical abuse,Physical Abuse
36713087,History of being a victim of child physical abuse,Physical Abuse
36717284,History of being victim of child abuse,Physical Abuse
36717121,History of domestic physical abuse,Physical Abuse
37207733,History of domestic physical abuse of adult,Physical Abuse
4208970,History of physical abuse,Physical Abuse
761894,Iatrogenic thyrotoxicosis factitia,Physical Abuse
40482897,Late effect of child abuse,Physical Abuse
4318556,Munchausen's by proxy,Physical Abuse
44784256,Non-domestic physical abuse of adult,Physical Abuse
4302066,Physical abuse,Physical Abuse
45757135,Physical abuse complicating childbirth,Physical Abuse
45757136,Physical abuse complicating pregnancy,Physical Abuse
439391,Physical abuse of adult,Physical Abuse
4053416,Physical abuse of disabled person,Physical Abuse
4053552,Physical abuse of elderly person,Physical Abuse
435151,Physical child abuse,Physical Abuse
436313,Shaken baby syndrome,Physical Abuse
4037139,Suspected victim of child abuse,Physical Abuse
37117080,Suspected victim of child physical abuse,Physical Abuse
44783765,Suspected victim of physical abuse,Physical Abuse
437449,Victim of child abuse,Physical Abuse
438043,Victim of physical abuse,Physical Abuse
4186113,Child concubinage,Sexual Abuse
437460,Child sex abuse,Sexual Abuse
4027465,Contact sexual abuse of child,Sexual Abuse
36715110,Domestic sexual abuse,Sexual Abuse
4201148,Incest,Sexual Abuse
4029577,Incestuous child concubinage,Sexual Abuse
4103307,Incestuous concubinage with girls,Sexual Abuse
4263091,Intrafamilial sexual abuse,Sexual Abuse
4321678,Non-incestuous child concubinage,Sexual Abuse
4254381,"Pedophilia, limited to incest",Sexual Abuse
443080,Sexual abuse,Sexual Abuse
45757172,Sexual abuse complicating childbirth,Sexual Abuse
45757173,Sexual abuse complicating pregnancy,Sexual Abuse
4053716,Sexual abuse of disabled person,Sexual Abuse
45773199,Suspected victim of child sexual abuse,Sexual Abuse
4168496,Victim of abusive sexual relationship,Sexual Abuse
45763732,Victim of child sexual abuse,Sexual Abuse
37017541,Victim of child sexual exploitation,Sexual Abuse
42536268,Victim of human trafficking,Sexual Abuse
4171711,Victim of rape,Sexual Abuse
438943,Victim of sexual abuse,Sexual Abuse
44807665,Victim of sexual activity without consent,Sexual Abuse
4210749,Victim of sexual aggression,Sexual Abuse
37017530,Victim of sexual assault by intimate partner,Sexual Abuse
37017531,Victim of sexual assault by member of household,Sexual Abuse
4026166,Victim of sexual harassment,Sexual Abuse
4061289,Victim of statutory rape,Sexual Abuse
4239656,Acrophobia,Anxiety Disorder
4099956,Acute panic state due to acute stress reaction,Anxiety Disorder
4321835,Agoraphobia,Anxiety Disorder
439786,Agoraphobia with panic attacks,Anxiety Disorder
4189538,Agoraphobia without history of panic disorder,Anxiety Disorder
4029005,Agoraphobia without history of panic disorder with limited symptom attacks,Anxiety Disorder
4219627,Agoraphobia without history of panic disorder without limited symptom attacks,Anxiety Disorder
4146660,Alcohol-induced anxiety disorder,Anxiety Disorder
4219044,Amphetamine-induced anxiety disorder,Anxiety Disorder
4011623,Androphobia,Anxiety Disorder
442077,Anxiety disorder,Anxiety Disorder
37110465,Anxiety disorder caused by dissociative drug,Anxiety Disorder
37109206,Anxiety disorder caused by drug,Anxiety Disorder
37110466,Anxiety disorder caused by ketamine,Anxiety Disorder
37309777,Anxiety disorder caused by methamphetamine,Anxiety Disorder
37110453,Anxiety disorder caused by methylenedioxymethamphetamine,Anxiety Disorder
37119146,Anxiety disorder caused by opioid,Anxiety Disorder
42538592,Anxiety disorder caused by stimulant,Anxiety Disorder
42537777,Anxiety disorder caused by synthetic cannabinoid,Anxiety Disorder
42538738,Anxiety disorder caused by synthetic cathinone,Anxiety Disorder
4199892,Anxiety disorder due to a general medical condition,Anxiety Disorder
4242095,Anxiety disorder of adolescence,Anxiety Disorder
4203449,Anxiety disorder of childhood,Anxiety Disorder
433178,Anxiety disorder of childhood OR adolescence,Anxiety Disorder
4288011,Anxiety hyperventilation,Anxiety Disorder
42538968,Anxiety in pregnancy,Anxiety Disorder
4211958,Ataque de nervios,Anxiety Disorder
4236021,Avoidant disorder of adolescence,Anxiety Disorder
4272468,Avoidant disorder of childhood,Anxiety Disorder
4242704,Avoidant disorder of childhood OR adolescence,Anxiety Disorder
46284309,"BESD - behavioural, emotional and social difficulties",Anxiety Disorder
4298795,Bilis,Anxiety Disorder
4323299,Caffeine-induced anxiety disorder,Anxiety Disorder
4221077,Cannabis-induced anxiety disorder,Anxiety Disorder
433181,Childhood and adolescent disturbance with introversion,Anxiety Disorder
4150796,Childhood and adolescent disturbance with sensitivity,Anxiety Disorder
4150797,Childhood and adolescent disturbance with shyness,Anxiety Disorder
4102978,Childhood and adolescent fearfulness disturbance,Anxiety Disorder
4100101,Childhood or adolescent disorder of social functioning,Anxiety Disorder
4100100,Childhood phobic anxiety disorder,Anxiety Disorder
4058397,Claustrophobia,Anxiety Disorder
4198826,Cocaine-induced anxiety disorder,Anxiety Disorder
4102977,Disturbance of anxiety and fearfulness in childhood and adolescence,Anxiety Disorder
4009184,Dream anxiety disorder,Anxiety Disorder
4217365,Elective mutism,Anxiety Disorder
434613,Generalized anxiety disorder,Anxiety Disorder
4268775,Generalized social phobia,Anxiety Disorder
4012108,Gynephobia,Anxiety Disorder
4035299,Hallucinogen-induced anxiety disorder,Anxiety Disorder
4049341,Inhalant-induced anxiety disorder,Anxiety Disorder
436668,Mixed behavior and emotional disorder,Anxiety Disorder
4147126,Nervios,Anxiety Disorder
444243,Neurosis,Anxiety Disorder
4146867,"Neurotic condition, insight present",Anxiety Disorder
381537,Organic anxiety disorder,Anxiety Disorder
4028677,Overanxious disorder of childhood,Anxiety Disorder
436074,Panic disorder,Anxiety Disorder
4147466,Panic disorder with agoraphobia,Anxiety Disorder
4233250,Panic disorder with agoraphobia AND mild panic attacks,Anxiety Disorder
4217601,Panic disorder with agoraphobia AND moderate panic attacks,Anxiety Disorder
4245974,Panic disorder with agoraphobia AND panic attacks in full remission,Anxiety Disorder
4273699,Panic disorder with agoraphobia AND panic attacks in partial remission,Anxiety Disorder
4204708,Panic disorder with agoraphobia AND severe panic attacks,Anxiety Disorder
4297987,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND mild panic attacks",Anxiety Disorder
4338662,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND moderate panic attacks",Anxiety Disorder
4002897,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in full remission",Anxiety Disorder
4008568,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in partial remission",Anxiety Disorder
4143602,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND severe panic attacks",Anxiety Disorder
4136518,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND mild panic attacks",Anxiety Disorder
4137120,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND moderate panic attacks",Anxiety Disorder
4329036,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in full remission",Anxiety Disorder
4135202,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission",Anxiety Disorder
4006459,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND severe panic attacks",Anxiety Disorder
4270890,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND mild panic attacks",Anxiety Disorder
4175779,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND moderate panic attacks",Anxiety Disorder
4085666,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in full remission",Anxiety Disorder
4177015,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in partial remission",Anxiety Disorder
4054913,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND severe panic attacks",Anxiety Disorder
4171336,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND mild panic attacks",Anxiety Disorder
4220989,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND moderate panic attacks",Anxiety Disorder
4272328,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in full remission",Anxiety Disorder
4298550,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in partial remission",Anxiety Disorder
4307664,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND severe panic attacks",Anxiety Disorder
4109930,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks",Anxiety Disorder
4146608,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND moderate panic attacks",Anxiety Disorder
4243153,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in full remission",Anxiety Disorder
4252417,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in partial remission",Anxiety Disorder
4246992,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND severe panic attacks",Anxiety Disorder
4211231,Panic disorder without agoraphobia,Anxiety Disorder
4218624,Panic disorder without agoraphobia with mild panic attacks,Anxiety Disorder
4277739,Panic disorder without agoraphobia with moderate panic attacks,Anxiety Disorder
4221253,Panic disorder without agoraphobia with panic attacks in full remission,Anxiety Disorder
4205119,Panic disorder without agoraphobia with panic attacks in partial remission,Anxiety Disorder
4182119,Panic disorder without agoraphobia with severe panic attacks,Anxiety Disorder
44790897,Paruresis,Anxiety Disorder
4206779,Phencyclidine-induced anxiety disorder,Anxiety Disorder
440985,Phobia,Anxiety Disorder
4304010,Phobic disorder,Anxiety Disorder
4299970,Phobic fear of skin cancer,Anxiety Disorder
4150950,Poor insight into neurotic condition,Anxiety Disorder
4253057,Postpartum neurosis,Anxiety Disorder
4178114,Psychoactive substance-induced organic anxiety disorder,Anxiety Disorder
4168212,Restlessness and agitation,Anxiety Disorder
4056690,"Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder",Anxiety Disorder
4193868,"Sedative, hypnotic AND/OR anxiolytic-related disorder",Anxiety Disorder
434628,Separation anxiety,Anxiety Disorder
4039212,Separation anxiety disorder of childhood,Anxiety Disorder
4225906,"Separation anxiety disorder of childhood, early onset",Anxiety Disorder
437537,Shyness disorder of childhood,Anxiety Disorder
4182847,Simple phobia,Anxiety Disorder
440690,Social phobia,Anxiety Disorder
4103275,"Social phobia, fear of eating in public",Anxiety Disorder
4103276,"Social phobia, fear of public speaking",Anxiety Disorder
4103277,"Social phobia, fear of public washing",Anxiety Disorder
44792465,Stranger anxiety,Anxiety Disorder
4033046,Syphilophobia,Anxiety Disorder
4254670,Taijin kyofusho,Anxiety Disorder
4033936,Trichophobia,Anxiety Disorder
4033937,Venereophobia,Anxiety Disorder
4184002,Zoophobia,Anxiety Disorder
4306640,Body dysmorphic disorder,OCD
4294887,Cluttering,OCD
42539152,Complex dissociative intrusion disorder,OCD
4084868,Compulsive hoarding,OCD
4103278,Compulsive neurosis,OCD
37110565,Compulsive scratching behavior,OCD
37119161,Compulsive self-biting behavior,OCD
4333001,Interictal behavior disorder,OCD
35622665,Mild bodily distress disorder,OCD
35622666,Moderate bodily distress disorder,OCD
4098320,Obsessional neurosis,OCD
4195865,Obsessional thoughts,OCD
4155075,Obsessional thoughts of causing harm to self,OCD
4084720,Obsessional thoughts of poisoning,OCD
37110440,Obsessive compulsive disorder caused by cocaine,OCD
37110473,Obsessive compulsive disorder caused by psychoactive substance,OCD
42538593,Obsessive compulsive disorder caused by stimulant,OCD
42538739,Obsessive compulsive disorder caused by synthetic cathinone,OCD
440374,Obsessive-compulsive disorder,OCD
4062972,Trichotillomania,OCD
4216701,Astasia-abasia,Somatoform Disorder
37109944,Bodily distress disorder,Somatoform Disorder
4216772,Briquet's syndrome,Somatoform Disorder
4033049,Bromisodrophobia,Somatoform Disorder
4196177,Cheshire cat syndrome,Somatoform Disorder
40480423,Chronic psychogenic pain,Somatoform Disorder
4142811,Compensation neurosis,Somatoform Disorder
4009651,"Conversion disorder, single episode",Somatoform Disorder
4091687,Couvade,Somatoform Disorder
4332999,Cutaneous hypochondriasis,Somatoform Disorder
4299969,Cutaneous Munchausen syndrome,Somatoform Disorder
4030432,Delusion of heart disease syndrome,Somatoform Disorder
437244,Depersonalization disorder,Somatoform Disorder
133285,Dermatitis factitia,Somatoform Disorder
4033935,Dermatological non-disease,Somatoform Disorder
4333002,Dermatological pathomimicry,Somatoform Disorder
4338034,Dissociative astasia-abasia,Somatoform Disorder
4098316,Dissociative convulsions,Somatoform Disorder
434889,Dissociative disorder,Somatoform Disorder
4150799,Dissociative motor disorder,Somatoform Disorder
42536608,Dissociative neurological disorder with symptom of alteration of sensation,Somatoform Disorder
42536609,Dissociative neurological disorder with symptom of movement disorder,Somatoform Disorder
42536607,Dissociative neurological disorder with symptom of weakness,Somatoform Disorder
42539544,Dissociative neurological symptom disorder,Somatoform Disorder
42537140,Dissociative neurological symptom disorder co-occurrent with alteration of consciousness,Somatoform Disorder
42536611,Dissociative neurological symptom disorder co-occurrent with auditory symptom,Somatoform Disorder
37311991,Dissociative neurological symptom disorder co-occurrent with chorea,Somatoform Disorder
42537139,Dissociative neurological symptom disorder co-occurrent with cognitive symptoms,Somatoform Disorder
42536612,Dissociative neurological symptom disorder co-occurrent with dizziness,Somatoform Disorder
37311990,Dissociative neurological symptom disorder co-occurrent with dystonia,Somatoform Disorder
37311989,Dissociative neurological symptom disorder co-occurrent with facial spasm,Somatoform Disorder
37311988,Dissociative neurological symptom disorder co-occurrent with myoclonus,Somatoform Disorder
37311987,Dissociative neurological symptom disorder co-occurrent with Parkinsonism,Somatoform Disorder
42536610,Dissociative neurological symptom disorder co-occurrent with swallowing symptom,Somatoform Disorder
42539615,Dissociative neurological symptom disorder co-occurrent with symptom of speech production,Somatoform Disorder
42537138,Dissociative neurological symptom disorder co-occurrent with symptoms of gait disorder,Somatoform Disorder
37311986,Dissociative neurological symptom disorder co-occurrent with tremor,Somatoform Disorder
42539545,Dissociative neurological symptom disorder with visual symptom,Somatoform Disorder
4077976,Dissociative possession disorder,Somatoform Disorder
4098315,Dissociative tremor,Somatoform Disorder
4269569,Disturbance of perception associated with conversion and dissociative phenomenon,Somatoform Disorder
4100681,Elaboration of physical symptoms for psychological reasons,Somatoform Disorder
4123254,Factitious asthma,Somatoform Disorder
4301153,Factitious blistering,Somatoform Disorder
4001660,Factitious cheilitis,Somatoform Disorder
440984,Factitious disorder,Somatoform Disorder
433993,Factitious disorder with combined physical AND psychological symptoms,Somatoform Disorder
4334472,Factitious disorder with predominantly physical signs and symptoms,Somatoform Disorder
443604,Factitious disorder with predominantly psychological signs and symptoms,Somatoform Disorder
4060261,Factitious hypoglycemia,Somatoform Disorder
4012540,Factitious purpura,Somatoform Disorder
4299574,Factitious skin disease,Somatoform Disorder
37110546,Functional monoparesis,Somatoform Disorder
37110547,Functional paraparesis,Somatoform Disorder
4294414,Ganser syndrome,Somatoform Disorder
4336980,Generalized neuromuscular exhaustion syndrome,Somatoform Disorder
4307246,Ghost sickness,Somatoform Disorder
4333681,Globus abdominalis,Somatoform Disorder
4332998,Hypochondriacal pain,Somatoform Disorder
434920,Hypochondriasis,Somatoform Disorder
4230656,Hysterical blindness,Somatoform Disorder
4308932,Hysterical cataplexy,Somatoform Disorder
4324406,Hysterical deafness,Somatoform Disorder
4228218,Hysterical paralysis,Somatoform Disorder
4278987,Koro,Somatoform Disorder
439781,Localized dissociative amnesia,Somatoform Disorder
4295133,Mal de ojo,Somatoform Disorder
4021767,Mental disorder AND/OR culture bound syndrome,Somatoform Disorder
4293175,"Mental state, behavior and/or psychosocial function finding",Somatoform Disorder
4065322,Munchausen's syndrome,Somatoform Disorder
433177,Neurocirculatory asthenia,Somatoform Disorder
4102962,Non-organic loss of appetite,Somatoform Disorder
37109942,Olfactory reference disorder,Somatoform Disorder
4338018,Organic dissociative disorder,Somatoform Disorder
44782778,Pain disorder with psychological factor,Somatoform Disorder
4155483,Piblokto,Somatoform Disorder
4219582,Polysomatizing disorder,Somatoform Disorder
4030739,Postgastrectomy neurosis,Somatoform Disorder
4102802,Psychasthenic neurosis,Somatoform Disorder
4103430,Psychogenic air hunger,Somatoform Disorder
4278360,Psychogenic alopecia,Somatoform Disorder
444259,Psychogenic amnesia,Somatoform Disorder
4099954,Psychogenic backache,Somatoform Disorder
4100533,Psychogenic constipation,Somatoform Disorder
436958,Psychogenic dysmenorrhea,Somatoform Disorder
4100532,Psychogenic dyspepsia,Somatoform Disorder
438410,Psychogenic dysuria,Somatoform Disorder
